非食,家居用品,一次性用品,一次性塑料制品
医疗保健,保健品,保健食品,其他滋补保健品
食品,烟酒水饮,香烟,国产香烟
食品,粮油调味,食用植物油,花生油
食品,烟酒水饮,常温奶,常温高钙奶
食品,冲调食品,冲泡饮品,奶茶饮品
食品,粮油调味,食用植物油,大豆油
非食,个人清洁,沐浴露,成人通用沐浴露
非食,卫生用品,卫生纸,面巾纸
非食,卫生用品,卫生纸,抽纸
非食,家用纺织,毛巾,毛巾
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,一般奶粉,中老年奶粉
医疗保健,保健品,保健食品,参类
食品,冲调食品,谷物和麦片,即溶麦片
食品,冷藏乳制品,低温酸奶,其他酸奶
食品,冷藏乳制品,低温鲜奶,鲜奶/纯奶
非食,家居用品,一次性用品,一次性塑料制品
非食,卫生用品,卫生棉,卫生巾
非食,服饰箱包,男鞋,男棉拖
食品,冲调食品,谷物和麦片,即溶麦片
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
非食,家居用品,一次性用品,一次性塑料制品
食品,南北干货,水产类,紫菜类
非食,家居用品,一次性用品,一次性塑料制品
非食,家用清洁,洗衣用品,洗衣粉
非食,家居用品,一次性用品,一次性塑料制品
非食,家居用品,一次性用品,一次性塑料制品
食品,烟酒水饮,白酒,清香型白酒
食品,粮油调味,盐,营养盐
非食,家居用品,一次性用品,一次性塑料制品
食品,烟酒水饮,乳酸菌饮料/含乳饮料,原味乳酸菌饮料
食品,粮油调味,盐,营养盐
非食,卫生用品,卫生纸,抽纸
食品,粮油调味,方便食品,方便馄饨/饺子/火锅
食品,休闲食品,传统饼干,甜味饼干
食品,休闲食品,蛋糕/面包,其他蛋糕/面包
食品,休闲食品,膨化食品,海鲜类膨化
食品,休闲食品,休闲即食,豆制品及素食即食小食
非食,家居用品,一次性用品,一次性塑料制品
食品,烟酒水饮,酸乳/奶,常温加味加料酸乳/奶
非食,卫生用品,卫生纸,抽纸
食品,烟酒水饮,碳酸饮料,加味汽水
非食,个人清洁,沐浴露,成人通用沐浴露
食品,冷藏乳制品,低温酸奶,水果味酸奶
食品,休闲食品,膨化食品,薯片/土豆类膨化（袋装）
食品,休闲食品,膨化食品,薯片/土豆类膨化（袋装）
非食,家用清洁,洗衣用品,洗衣皂
食品,烟酒水饮,碳酸饮料,加味汽水
非食,家居用品,一次性用品,一次性塑料制品
食品,粮油调味,调味料/香料,豆豉
非食,家居用品,一次性用品,一次性塑料制品
食品,粮油调味,方便食品,方便面
食品,粮油调味,方便食品,方便面
食品,粮油调味,方便食品,方便面
食品,粮油调味,佐餐酱菜,榨菜类
食品,粮油调味,方便食品,方便面
食品,粮油调味,方便食品,方便面
食品,粮油调味,方便食品,方便面
食品,粮油调味,盐,营养盐
食品,粮油调味,盐,营养盐
非食,家居用品,一次性用品,一次性塑料制品
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,咖啡伴侣,炼乳
生鲜,冷冻类,冷冻蔬菜类,冷冻玉米粒
食品,粮油调味,盐,营养盐
非食,家居用品,一次性用品,一次性塑料制品
食品,粮油调味,火锅炒菜酱料/冲泡速食汤料,火锅底料
非食,家居用品,一次性用品,一次性塑料制品
食品,粮油调味,盐,营养盐
非食,家居用品,一次性用品,一次性塑料制品
食品,休闲食品,休闲即食,肉制即食小食
食品,休闲食品,休闲即食,豆制品及素食即食小食
食品,休闲食品,休闲即食,肉制即食小食
非食,家居用品,一次性用品,一次性塑料制品
非食,个人清洁,女士护理用品,面部护肤保养
食品,冷藏乳制品,冷藏乳制品,奶酪/芝士
非食,家居用品,一次性用品,一次性塑料制品
非食,家居用品,一次性用品,一次性塑料制品
食品,烟酒水饮,常温奶,常温纯牛奶
生鲜,冷冻类,冷冻蔬菜类,冷冻玉米粒
食品,烟酒水饮,香烟,国产香烟
食品,冲调食品,谷物和麦片,即溶麦片
食品,粮油调味,盐,营养盐
非食,家居用品,一次性用品,一次性塑料制品
非食,家居用品,厨房用品,烹调用具
食品,冷藏乳制品,低温酸奶,原味酸奶
食品,粮油调味,方便食品,方便面
食品,粮油调味,盐,营养盐
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,一般奶粉,中老年奶粉
生鲜,冷藏类,冷藏肉制品,香肠/烤肠/红肠类
非食,家居用品,一次性用品,一次性塑料制品
食品,粮油调味,盐,营养盐
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
食品,粮油调味,佐餐酱菜,榨菜类
非食,家居用品,一次性用品,一次性塑料制品
食品,休闲食品,曲奇饼干,口味曲奇
非食,家居用品,一次性用品,一次性塑料制品
非食,卫生用品,卫生棉,护理垫
食品,粮油调味,盐,营养盐
非食,家居用品,一次性用品,一次性塑料制品
非食,家居用品,一次性用品,一次性塑料制品
非食,卫生用品,卫生棉,卫生巾
非食,个人清洁,女士护理用品,面部护肤保养
非食,家居用品,厨房用品,手套
食品,粮油调味,盐,营养盐
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,一般奶粉,中老年奶粉
医疗保健,保健品,保健食品,其他滋补保健品
食品,烟酒水饮,白酒,浓香型白酒（盒装）
食品,粮油调味,盐,营养盐
食品,休闲食品,蛋糕/面包,其他蛋糕/面包
非食,家居用品,一次性用品,一次性塑料制品
食品,粮油调味,盐,营养盐
食品,粮油调味,食用植物油,大豆油
食品,粮油调味,方便食品,方便米粉
食品,粮油调味,方便食品,方便米粉
食品,休闲食品,糖果/巧克力,棒棒糖/玩具糖
生鲜,冷冻类,冷冻汤圆,冷冻黑芝麻汤圆
生鲜,冷冻类,冷冻汤圆,冷冻其他果仁汤圆
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
食品,烟酒水饮,乳酸菌饮料/含乳饮料,含乳饮料
食品,冲调食品,谷物和麦片,即溶麦片
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,一般奶粉,中老年奶粉
食品,冲调食品,谷物和麦片,即溶麦片
食品,粮油调味,盐,营养盐
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,谷物和麦片,即溶麦片
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,谷物和麦片,即溶麦片
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,谷物和麦片,即溶麦片
食品,粮油调味,盐,营养盐
食品,冲调食品,谷物和麦片,即溶麦片
食品,粮油调味,火锅炒菜酱料/冲泡速食汤料,火锅底料
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
食品,粮油调味,盐,营养盐
食品,粮油调味,盐,营养盐
非食,服饰箱包,男鞋,男棉拖
食品,粮油调味,包装杂粮,其他杂米类
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,谷物和麦片,即溶麦片
食品,休闲食品,膨化食品,其他膨化
食品,冲调食品,谷物和麦片,即溶麦片
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
非食,家居用品,一次性用品,一次性塑料制品
非食,家居用品,一次性用品,一次性塑料制品
食品,烟酒水饮,白酒,其他香型白酒
食品,冲调食品,谷物和麦片,即溶麦片
食品,婴童食品,儿童饼干,其它儿童饼干
非食,家居用品,一次性用品,一次性塑料制品
食品,烟酒水饮,常温奶,常温纯牛奶
食品,烟酒水饮,常温奶,常温纯牛奶
非食,家居用品,一次性用品,一次性塑料制品
生鲜,冷藏类,冷藏肉制品,香肠/烤肠/红肠类
食品,粮油调味,方便食品,方便火腿肠
食品,休闲食品,休闲即食,肉制即食小食
食品,粮油调味,方便食品,方便面
食品,粮油调味,方便食品,方便面
食品,冲调食品,谷物和麦片,即溶麦片
食品,烟酒水饮,常温奶,常温纯牛奶
食品,烟酒水饮,常温奶,常温纯牛奶
生鲜,冷藏类,冷藏肉制品,香肠/烤肠/红肠类
非食,服饰箱包,男鞋,男棉拖
食品,粮油调味,火锅炒菜酱料/冲泡速食汤料,火锅底料
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
非食,家居用品,一次性用品,一次性塑料制品
食品,冲调食品,谷物和麦片,即溶麦片
食品,冷藏乳制品,低温酸奶,原味酸奶
非食,家居用品,一次性用品,一次性塑料制品
食品,休闲食品,传统饼干,甜味饼干
非食,家居用品,一次性用品,一次性塑料制品
食品,烟酒水饮,果汁饮料,其他果汁饮料
生鲜,冷藏类,冷藏主食类,冷藏包子/馒头
非食,家居用品,一次性用品,一次性塑料制品
非食,家居用品,一次性用品,一次性塑料制品
食品,粮油调味,方便食品,方便火腿肠
食品,烟酒水饮,碳酸饮料,加味汽水
非食,家居用品,一次性用品,一次性塑料制品
非食,家居用品,厨房用品,烹调用具
非食,家居用品,安全防护用品,安全剪刀/指甲钳/理发用品
非食,家居用品,厨房用品,手套
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
食品,冲调食品,谷物和麦片,即溶麦片
